"eBay Motors","eBay Auto"
"Allows changing images for selected option of multi variation items.(Applicable for Configurable products only).","Permet de changer de photos pour l'option des annonces multi-versions sélectionnée.(S'applique uniquement aux produits configurables)."
"Use Watermark","Utiliser le filigrane"
"Automatically adds your custom watermark to gallery images.","Permet d'ajouter automatiquement votre filigrane personnalisé aux photos de la galerie."
"Watermark Upload","Chargement du filigrane"
"Select image that you want to add as a watermark.","Sélectionnez l'image à ajouter en tant que filigrane."
"Watermark Preview","Aperçu du filigrane"
"Watermark Transparency","Transparence du filigrane"
"Disable","Désactiver"
"Enable","Activer"
"Sets transparency of watermark image to 30 %.","Permet de définir une transparence de 30 % pour l'image en filigrane."
"Scale Watermark Image","Redimensionner la photo en filigrane"
"In Width","Largeur"
"Full Image","Photo entière"
"Scales watermark image in width or full image.","Permet de redimensionner la photo en filigrane selon l'option choisie, Largeur ou Photo entière."
"Watermark Position","Position du filigrane"
"Top","Supérieur"
"Middle","Milieu"
"Bottom","Bas"
"Watermark position on the image.","Position du filigrane sur la photo."
"Details","Details"
"Custom Title","Titre personnalisé"
"This is the title buyers will see on eBay. A good title means more buyers viewing your listing and your item selling for the best price.","Titre que verront les acheteurs sur eBay. Un bon titre permet d'attirer plus d'acheteurs et d'obtenir le meilleur prix de vente."
"Add Subtitle","Ajouter un sous-titre"
"Adding subtitle to eBay item.
                                    <br/><b>Note:</b> An additional fee may be charged for an item subtitle. Find out more about <a href=""http://sellercentre.ebay.co.uk/insertion-fees-business-sellers"" target=""_blank"">eBay Insertion Fees</a>.","Ajout d'un sous-titre à l'annonce eBay.                                    <br/><b>Remarque :</b> des frais supplémentaires peuvent être facturés pour les sous-titres des annonces. En savoir plus sur les <a href=""http://sellercentre.ebay.co.uk/insertion-fees-business-sellers"" target=""_blank"">frais d'insertion d'eBay</a>."
"Cut Long Titles","Couper les titres longs"
"Automatically shortens titles to 80 characters and subtitles to 55 characters to fit on eBay.","Raccourcit automatiquement les titres à 80 caractères et les sous-titres à 55 caractères pour répondre aux exigences d'eBay."
"It is possible to choose a Product Description or Product Short Description, which will be taken from Magento.
                    <br/>Or you can create a Custom Description by adding necessary information, appropriate attributes from dropdown lists and image tags.","Vous pouvez choisir une Description du produit ou une Brève description du produit qui sera extraite de Magento.                    <br/>Vous pouvez également créer une Description personnalisée en ajoutant les informations nécessaires, les attributs appropriés à partir des listes déroulantes et des balises de photo."
"Description Source","Source de la description"
"Custom Description","Description personnalisée"
"Item's description source for eBay Listing.
                                                <br/>
                                                <br/>It is possible to create custom description in 2 modes:
                                                <br/><b>WYSIWYG</b> - allows creating simple good looking product description. No HTML knowledge is required.
                                                <br/><b>HTML</b> - allows using HTML tags and CSS styles for the description. You can create much more complex, improved and advanced item's description using this mode.","Source de la description de l'objet pour l'annonce eBay.                                                <br/>                                                <br/>Deux modes de création d'une description personnalisée sont disponibles :                                                <br/><b>WYSIWYG</b> - Permet de créer une description de produit simple et attrayante. Aucune connaissance HTML n'est requise.                                                <br/><b>HTML</b> - Permet d'utiliser des balises HTML et des styles CSS dans la description. Avec ce mode, vous pouvez créer des descriptions bien plus complexes et sophistiquées."
"Custom Description Inserts","Insertions dans la description personnalisée"
"M2ePro Attribute","Attribut M2E Pro"
"Product Image(s)","Photo(s) du produit"
"Add Image(s)","Ajouter des photo(s)"
"Displaying Images","Affichage des photos"
"Gallery View","Objets de la Galerie"
"Image(s) Width","Largeur des photos"
"Main Image Width","Largeur de la photo principale"
"Original","Originale"
"Custom","Personnalisé"
"Image(s) Height","Hauteur des photos"
"Main Image Height","Hauteur de la photo principale"
"Image(s) Margin","Marge des photos"
"Images Layout","Disposition des photos"
"Horizontal","Horizontal"
"Vertical","Vertical"
"Gallery Hint","Astuce d'utilisation de la galerie"
"Click on the image below to get zoomed view of the item","Cliquez sur la photo ci-dessous pour afficher une vue agrandie de l'objet"
"Open original size image<br/> in a new  window","Ouvrir la photo dans ses dimensions d'origine<br/> dans une nouvelle fenêtre"
"Choose configuration how the image(s) should be displayed and press the <i>Insert</i> button. Image's tag will be added to the end of the text.","Choisissez le mode d'affichage des photos, puis cliquez sur le bouton <i>Insérer</i>. La balise de la photo sera ajoutée à la fin du texte."
"eBay Catalog Identifier","Identifiant du catalogue eBay"
"EAN","EAN"
"European Article Number, (now called International Article Number). This barcode is a superset of the UPC.","Numéro d'article européen (désormais appelé numéro d'article international). Ce code-barres est un surensemble du code UPC."
"UPC","Code UPC"
"The Universal Product Code is a barcode usually consisting of 12 numerical digits, which are unique for each item.","Le code UPC (Universal Product Code) est un code-barres unique propre à chaque objet et comprenant généralement 12 chiffres."
"ePID (Product Reference ID)","Code produit eBay (code de référence du produit)"
"An eBay Product ID is eBay's global reference ID for a catalog product.","Le code produit eBay est le code de référence général d'eBay utilisé pour désigner un produit du catalogue."
"ISBN","Code ISBN"
"The International Standard Book Number is a uniquenumeric book identifier.","Le numéro international normalisé du livre est un code numérique unique destiné à identifier les livres."
"Upgrade Tools","Options de mise en vente"
"Value Pack","Pack options"
"Value Pack Bundle","Offre groupée Pack options"
"Combine Gallery, Subtitle, and Listing Designer and you will get a discount.","Combinez les options Galerie, Sous-titre et Illustrateur d'annonces pour bénéficier d'une réduction."
"Listing Upgrades","Options de mise en vente"
"Bold listing title","Titre en gras"
"Find out about <a href=""http://sellercentre.ebay.co.uk/fees-optional-listing-features"" target=""_blank"">eBay optional listing features</a>","En savoir plus sur les <a href=""http://sellercentre.ebay.co.uk/fees-optional-listing-features"" target=""_blank"">options de mise en vente eBay</a>"
"Highlight","Effet fluo"
"Adding an eye-catching background to your listing in search results.","Permet de faire ressortir votre annonce en lui ajoutant un arrière-plan dans les résultats de recherche."
"Gallery Type","Type de galerie"
"Gallery Picture","Photo de la Galerie"
"Gallery Plus","Galerie plus"
"Gallery Featured","A la Une de la Galerie "
"Hit Counter","Compteur de visites"
"No Hit Counter","Aucun compteur de visites"
"Basic Style","Style classique"
"Green LED","LED verte"
"Hidden Style","Caché"
"Honesty Style","Honesty"
"Retro Style","Vert fluo"
"Count the number of visitors to your eBay listing.<br/><b>Note:</b> Green LED and Honesty Style styles are available only in the US.","Permet de comptabiliser le nombre d'utilisateurs ayant consulté votre annonce eBay.<br/><b>Remarque :</b> les styles LED verte et Honesty sont uniquement disponibles aux Etats-Unis."
"Select Product","Sélection du produit"
"Enter Product Id","Saisir le code produit"
"Select the payment, shipping and cross border options you would like eBay to use.","Sélectionnez les options de paiement, de livraison et de vente à l'international à utiliser sur eBay."
"Remember, you can amend Payment and Shipping Settings at any time.","N'oubliez pas que vous pouvez modifier les paramètres de paiement et de livraison à tout moment."
"Policy title is not unique.","Le titre des conditions n'est pas unique."
"You can adjust how long your items will be active on eBay. You can also choose the price on eBay in relation to your store price. You might want to increase your selling price to take into account the eBay seller fees, or reduce your price to be competitive.","Vous pouvez définir la durée de la vente de vos objets sur eBay. Vous pouvez également sélectionner le prix sur eBay en fonction du prix de la Boutique. Il peut être utile d'augmenter le prix de vente pour inclure les frais de vente sur eBay ou de baisser le prix pour qu'il soit plus compétitif."
"Remember, you can amend Selling Settings at any time.","N'oubliez pas que vous pouvez modifier les paramètres de vente à tout moment."
"Sync your accounts so you are always on top of your stock control and inventory.","Synchronisez vos comptes pour contrôler votre stock et votre inventaire."
"Remember, you can amend Synchronization Settings at any time.","N'oubliez pas que vous pouvez modifier les paramètres de synchronisation à tout moment."
"There are 4 rule settings:
        <br/>
        <ul class=""list"">
            <li style=""list-style: decimal !important;"">List Rules</li>
            <li style=""list-style: decimal !important;"">Revise Rules</li>
            <li style=""list-style: decimal !important;"">Relist Rules</li>
            <li style=""list-style: decimal !important;"">Stop Rules</li>
        </ul>
        <b>Note:</b> Inventory Synchronization setting must be enabled in Synchronization (Configuration > Synchronization).
        Otherwise, Synchronization Policy Rules will not take effect.","4 paramètres de règles sont disponibles :        <br/>        <ul class=""list"">            <li style=""list-style: decimal !important;"">Règles de mise en vente</li>            <li style=""list-style: decimal !important;"">Règles de modification</li>            <li style=""list-style: decimal !important;"">Règles de remise en vente</li>            <li style=""list-style: decimal !important;"">Règles d'arrêt</li>        </ul>        <b>Remarque :</b> le paramètre Synchronisation de l'inventaire doit être activé dans le menu Synchronisation (Configuration > Synchronisation). A défaut, les règles des conditions Synchronisation ne seront pas appliquées."
"Be careful when you edit policies, as all changes you have made will be automatically applied to all M2E listings where these policies are used.
    <br/>If a policy is used in a M2E Listing, it cannot be deleted.","Si vous modifiez les conditions, n'oubliez pas que toutes les modifications s'appliqueront automatiquement à toutes les annonces M2E qui utilisent ces conditions.    <br/>Si des conditions sont utilisées dans une annonce M2E, elles ne peuvent pas être supprimées."
"Payment method should be specified.","Le mode de paiement doit être spécifié."
"PayPal","PayPal"
"PayPal Accepted","PayPal accepté"
"PayPal Email Address","Adresse e-mail PayPal"
"Email address for receiving payment.","Adresse e-mail pour la réception des paiements."
"Immediate Payment Required","Paiement immédiat obligatoire"
"This is only applicable to items listed on PayPal-enabled sites in categories that support immediate payment, when a seller has a Premier or Business PayPal account.","S'applique uniquement aux objets mis en vente sur des sites qui prennent en charge PayPal dans des catégories compatibles avec le paiement immédiat, lorsque le vendeur dispose d'un compte PayPal Premier ou Business."
"Additional Payment Methods","Modes de paiement supplémentaires"
"Payment Methods","Modes de paiement"
"Return Policy","Conditions de retour"
"Buyers are more comfortable shopping from sellers who offer <a href=""http://sellercentre.ebay.co.uk/offer-returns-policy"" target=""_blank"">returns policies</a>, even though most buyers will never return an item.
                                        <br/>Items with a clear returns policy typically sell better than items that don't have one.","Les acheteurs préfèrent acheter des objets auprès de vendeurs qui proposent des <a href=""http://sellercentre.ebay.co.uk/offer-returns-policy"" target=""_blank"">conditions de retour</a> même s'il est rare qu'ils renvoient les objets.                                        <br/>Les objets associés à des conditions de retour claires se vendent généralement mieux que ceux qui n'en ont pas."
"Refund Will Be Given As","Mode de remboursement"
"Item Must Be Returned Within","L'objet doit être renvoyé dans un délai de"
"Return Shipping Will Be Paid By","Les frais de retour seront payés par"
"Restocking Fee Value","Frais de remise en stock"
"Refund Description","Description du remboursement"
"Search For Charities","Rechercher des associations caritatives"
"Please select a percentage of donation","Sélectionnez un pourcentage de don"
"If you do not see the organization you were looking for, try to enter another keywords and run the search again.","Si l'organisation que vous cherchiez ne s'affiche pas, essayez d'utiliser d'autres mots-clés et effectuez une nouvelle recherche."
"Please, enter the organization name or ID.","Saisissez le nom ou le numéro de l'organisation."
"Max applicable length is 6 characters, including the decimal (e.g., 12.345).","La longueur maximum acceptée est de 6 caractères, décimale incluse (par exemple : 12,345)."
"Price Change is not valid.","Le champ Modification des tarifs n'est pas valide."
"Wrong value. Only integer numbers.","Valeur incorrecte. Nombres entiers uniquement."
"The fixed price for immediate purchase.","Prix fixe pour un achat immédiat."
"The fixed price for immediate purchase.<br/>Find out more about <a href=""http://sellercentre.ebay.co.uk/add-buy-it-now-price-auction"" target=""_blank"">adding a Buy It Now price</a> to your listing.","Prix fixe pour un achat immédiat.<br/>Découvrez comment <a href=""http://sellercentre.ebay.co.uk/add-buy-it-now-price-auction"" target=""_blank"">ajouter un Prix d'Achat immédiat</a> à votre annonce."
"% of Price"," % du prix"
"% of ""Buy It Now"" Price"," % du Prix d'Achat immédiat"
"How You Want To Sell Your Item","Mode de mise en vente de l'objet"
"Is your item for sale <a href=""http://sellercentre.ebay.co.uk/auction-style-or-fixed-price-listing"" target=""_blank"">auction-style, or fixed price</a>?","Souhaitez-vous mettre l'objet en vente <a href=""http://sellercentre.ebay.co.uk/auction-style-or-fixed-price-listing"" target=""_blank"">au format Enchères ou Prix fixe</a> ?"
"<br/>Attribute must contain ID. ID for Fixed price is FixedPriceItem, for Auction is Chinese.","<br/>L'attribut doit contenir un code d'identification. Le code du format Prix fixe est FixedPriceItem et celui du format Enchères est Chinese."
"The buyer will be anonymous to other eBay users in a Private Listing.","L'acheteur apparaîtra anonymement aux autres membres eBay dans le cadre d'une annonce privée."
"Quantity And Duration","Quantité et durée"
"The length of time your eBay listing will be active. You can have it last 1, 3, 5, 7, 10, 30 days or Good 'Til Cancelled.
                                                                        <br />Good 'Til Cancelled listings renew automatically every 30 days unless all of the items sell, you end the listing, or the listing breaches an eBay policy.","La durée d'activité de l'annonce eBay. Vous pouvez choisir une durée de 1, 3, 5, 7, 10 ou 30 jours, ou l'option Valide jusqu'à annulation.                                                                        <br />Les annonces Valide jusqu'à annulation sont renouvelées automatiquement tous les 30 jours, sauf si tous les objets sont vendus, si vous mettez fin à la vente ou si elles ne respectent pas les règlements d'eBay."
"<br/>Attribute must contain a whole number. If you choose ""Good Till Cancelled"" the attribute must contain 100.","<br/>L'attribut doit contenir un nombre entier. Si vous choisissez l'option « Valide jusqu'à annulation », l'attribut doit contenir la valeur 100."
"Single Item","Objet unique"
"Custom QTY Number","Quantité personnalisée (nombre)"
"The number of items you have for sale.","Nombre d'objets à mettre en vente."
"Conditional Quantity","Quantité conditionnelle"
"Choose specifically the number of items available for sale on eBay.","Sélectionnez spécifiquement le nombre d'objets disponibles pour la vente sur eBay."
"Maximum Quantity to Be Listed","Quantité maximum à mettre en vente"
"Set a maximum number to sell on eBay, e.g. if you have 10 items in stock but want to keep 2 items back, set a maximum quantity of 8.","Définissez la quantité maximum à vendre sur eBay. Par exemple, si vous avez 10 objets en stock et que vous souhaitez en conserver 2, définissez une quantité maximum de 8."
"Out Of Stock Control","Contrôle En rupture de stock"
"This is useful if you are waiting for additional stock of an item with the same eBay item ID. Instead of ending the listing and then recreating it when the inventory arrives, you can use this flag to hide the listing. Then when you have the item available, automatic or manual Revise will update the inventory and the listing will appear again. 
                                <br/><b>Note:</b> Once you list a product with this option it cannot be changed. To cancel it you should end and list the item again.","Cette option est utile si vous attendez le réapprovisionnement du stock d'un objet portant le même numéro d'objet eBay. Au lieu de mettre fin à la vente et de recréer ensuite une annonce après le réapprovisionnement, vous pouvez utiliser cet indicateur pour masquer l'annonce. Une fois l'objet disponible, la modification automatique ou manuelle entraîne la mise à jour de l'inventaire et l'annonce s'affiche à nouveau.                                 <br/><b>Remarque :</b> une fois le produit mis en vente avec cette option, il est impossible de le modifier. Pour annuler l'option, vous devez mettre fin à la vente et remettre l'objet en vente."
"Ignore Variations","Ignorer les versions"
"Select 'Yes' to list Configurable, Grouped, Bundle and Simple with Custom options products as Simple (without variations).","Sélectionnez Oui pour mettre en vente les produits configurables, groupés, les offres groupées et les produits simples avec options personnalisées comme des produits simples (sans versions)."
"Taxation","Taxation"
"VAT Rate, %","Taux de TVA, %"
"To specify a VAT rate, you must have an eBay business account and list the item on a VAT-enabled site: Ireland, India, Switzerland, Spain, Holland, Belgium, Italy, Germany, France, Austria or England. The item's VAT information appears on the item's listing page.","Pour spécifier un taux de TVA, vous devez être titulaire d'un compte professionnel eBay et mettre l'objet en vente sur un site prenant en charge la TVA : Irlande, Inde, Suisse, Espagne, Pays-Bas, Belgique, Italie, Allemagne, France, Autriche ou Royaume-Uni. Les informations sur la TVA de l'objet s'affichent sur la page de l'annonce."
"Use eBay Tax Table","Utiliser le tableau des taxes eBay"
"Charges sales tax according to the tax table of your eBay account. Available only for Canada, Canada (Fr), USA and eBay Motors.","Applique les taxes sur la vente conformément au tableau des taxes de votre compte eBay. Disponible uniquement pour le Canada, le Canada (Fr), les Etats-Unis et eBay Auto."
"Tax Category","Catégorie de taxation"
"and","et"
"eBay %s supports %s currencies. To switch the currency you want to sell for, go to %s > Configuration > <a target=""_blank"" href=""%s"">General</a>","eBay %s prend en charge %s devises. Pour modifier la devise de vente des objets, accédez au menu %s > Configuration > <a target=""_blank"" href=""%s"">Général</a>"
"Add VAT Percentage","Ajouter un pourcentage de TVA"
"Increases the price that will be sent on eBay by VAT Rate (%).<br/>e.g., VAT Rate = 19%, Magento Price = Â£10, Percentage increase = 2%;<br/>eBay Price will be counted as (Â£10 + 19%) + 2% = Â£12.14","Augmente le prix envoyé sur eBay du taux de TVA (%).<br/>par ex. : taux de TVA = 19 %, Prix Magento = 10 GBP, pourcentage d'augmentation = 2 % ;<br/>Calcul du prix eBay : (10 GBP + 19 %) + 2 % = 12,14 GBP"
"The accepted currency for the item. This has been determined by the eBay site you chose earlier.","Devise acceptée pour l'objet. Cette devise est déterminée par le site eBay sélectionné."
"Price Change","Modification des tarifs"
"[CURRENCY]","[DEVISE]"
"
                                                        A value you want the Magento Price to be modified while listing on eBay.
                                                        <br/>
                                                        <br/><b>Absolute Value increase</b>
                                                        <br/>This will increase the price on eBay compared to the price on Magento,
                                                        <br/>e.g. if you wish to increase the price of an item selling on eBay
                                                        <br/>by #currency_placeholder#1.50, type â€œ1.5â€ into the box.
                                                        <br/>
                                                        <br/><b>Absolute Value decrease</b>
                                                        <br/>This will reduce the price on eBay compared to the price on Magento,
                                                        <br/>e.g. if you wish to reduce the price of an item selling on eBay
                                                        <br/>by #currency_placeholder#1.50, type â€œ1.5â€ into the box.
                                                        <br/>
                                                        <br/><b>Percentage increase (%)</b>
                                                        <br/>This will increase the price on eBay compared to the price on Magento,
                                                        <br/>e.g. you wish to increase by 10% the price
                                                        <br/>of a #currency_placeholder#2.00 item selling on your Magento store.
                                                        <br/>In the box type â€œ10â€. The item will then go on sale
                                                        <br/>for #currency_placeholder#2.2 on eBay.
                                                        <br/>
                                                        <br/><b>Percentage decrease (%)</b>
                                                        <br/>This will reduce the price on eBay compared to the price on Magento,
                                                        <br/>e.g. you wish to reduce by 10% the price of a #currency_placeholder#2.00 item selling
                                                        <br/>on your Magento store.
                                                        <br/>In the box type: â€œ10â€. The item will then go on sale for #currency_placeholder#1.80
                                                        <br/>on eBay.
                                                    ","                                                        Valeur à utiliser pour modifier le prix Magento lors de la publication d'une annonce sur eBay.                                                        <br/>                                                        <br/><b>Augmentation en valeur absolue</b>                                                        <br/>Le prix sur eBay augmentera par rapport au prix dans Magento,                                                        <br/>par ex. si vous souhaitez augmenter le prix d'un objet vendu sur eBay                                                        <br/>de #currency_placeholder#1.50, saisissez « 1,5 » dans le champ.                                                        <br/>                                                        <br/><b>Diminution en valeur absolue</b>                                                        <br/>Le prix sur eBay diminuera par rapport au prix dans Magento,                                                        <br/>par ex. si vous souhaitez réduire le prix d'un objet vendu sur eBay                                                        <br/>de #currency_placeholder#1.50, saisissez « 1,5 » dans le champ.                                                        <br/>                                                        <br/><b>Pourcentage d'augmentation (%)</b>                                                        <br/>Le prix sur eBay augmentera par rapport au prix dans Magento,                                                        <br/>par ex. si vous souhaitez augmenter le prix de 10 %                                                        <br/>d'un objet de #currency_placeholder#2.00 vendu dans votre boutique Magento.                                                        <br/>Saisissez « 10 » dans le champ. L'objet sera ensuite mis en vente                                                        <br/>au prix de #currency_placeholder#2.2 sur eBay.                                                        <br/>                                                        <br/><b>Pourcentage de réduction (%)</b>                                                        <br/>Le prix sur eBay diminuera par rapport au prix dans Magento,                                                        <br/>par ex. si vous souhaitez réduire de 10 % le prix d'un objet de #currency_placeholder#2.00 vendu                                                        <br/>dans votre boutique Magento.                                                        <br/>Saisissez « 10 » dans le champ. L'objet sera mis en vente au prix de #currency_placeholder#1.80                                                        <br/>sur eBay.                                                    "
"The starting price at which bidding begins.","Prix de départ des enchères."
"Absolute Value increase","Augmentation en valeur absolue"
"Absolute Value decrease","Diminution en valeur absolue"
"Percentage increase","Pourcentage d'augmentation"
"Percentage decrease","Pourcentage de réduction"
"Variation Price","Prix des différentes versions"
"Main Product","Produit principal"
"Associated Products","Produits associés"
"This determines where the price for Configurable and Bundle products options should be taken from.","Détermine la source du prix pour les options des produits configurables et groupés."
"The lowest price at which you are selling an item.<br/><b>Note:</b> eBay charges some additional fee for using this option.","Prix le plus bas auquel vous vendez l'objet.<br/><b>Remarque :</b> des frais supplémentaires sont facturés par eBay pour cette option."
"Donation","Don"
"Organization","Organisme"
"Search for Charity Organization","Rechercher une association caritative"
"Allows you to support your favourite <a href=""http://pages.ebay.co.uk/help/sell/nonprofit.html"" target=""_blank"">charities</a>.","Permet de soutenir vos <a href=""http://pages.ebay.co.uk/help/sell/nonprofit.html"" target=""_blank"">associations caritatives</a>."
"Donation Percentage","Pourcentage du don"
"Best Offer","Offre directe"
"Allow Best Offer","Autoriser les Offres directes"
"The <a href=""http://sellercentre.ebay.co.uk/accept-best-offers"" target=""_blank"">Best Offer option </a> option allows you to accept offers from buyers and negotiate a price. You can accept Best Offers on fixed price and Classified Ads in certain eBay categories, such as eBay Motors.","L'option <a href=""http://sellercentre.ebay.co.uk/accept-best-offers"" target=""_blank"">Offre directe</a> permet d'accepter les offres des acheteurs et de négocier un prix. Vous pouvez accepter les offres directes pour les annonces au format Prix fixe et Petites annonces dans certaines catégories eBay telles qu'eBay Auto."
"Auto Action","Tâche automatique"
"Accept Offers of at Least","Accepter les offres d'au moins"
"Decline Offers Less than","Refuser les offres inférieures à"
"Enter the organization name or ID","Saisissez le nom ou le numéro de l'organisation"
"Location or Zip/Postal Code should be specified.","Vous devez définir un lieu ou un code postal."
"Select one or more international ship-to locations.","Sélectionnez un ou plusieurs lieux de livraison internationale."
"PayPal payment method should be specified for Cross Border trade.","Le mode de paiement PayPal doit être spécifié pour les transactions internationales."
"You should specify at least one shipping method.","Vous devez définir au moins un mode de livraison."
"Select shipping service","Sélectionner un service de livraison"
"Excluded Shipping Locations","Lieux de livraison exclus"
"No locations are currently excluded.","Aucun lieu n'est exclu actuellement."
"selected","sélectionné"
"Location","Lieu"
"The country your product will be shipped from.","Pays à partir duquel le produit sera envoyé."
"Zip/Postal Code of the item location. Especially useful in ""Collection Only"" items.","Code postal du lieu où se trouve l'objet. Particulièrement utile pour les objets « Remise en mains propres uniquement »."
"City, State","Ville, région"
"City, State of the item location.","Ville, Région du lieu où se trouve l'objet."
"Domestic Shipping","Livraison nationale"
"Calculated: cost varies by buyer location","Frais calculés : les frais dépendent du lieu où se trouve l'acheteur"
"Flat: same cost to all buyers","Frais fixes : mêmes coûts pour tous les acheteurs"
"Freight: large items","Transport : objets volumineux"
"No Shipping: local pickup only","Pas de livraison : remise en mains propres uniquement"
"Use eBay Shipping Rate Table","Utiliser le tableau des frais de livraison eBay"
"<a href=""http://sellercentre.ebay.co.uk/use-postage-rate-tables"" target=""_blank"">The eBay Shipping Rate Table</a> can help with shipping charges.","<a href=""http://sellercentre.ebay.co.uk/use-postage-rate-tables"" target=""_blank"">Le tableau des frais de livraison eBay</a> peut vous renseigner sur les frais de livraison."
"Service","Service"
"Cost","Coût"
"Additional Cost","Coût supplémentaire"
"Add Method","Ajouter un mode"
"Add Shipping Method","Ajouter un mode de livraison"
"Local pickup","Remise en mains propres"
"Item is available for local pickup only.","Remise en mains propres uniquement."
"Freight","Transport"
"Specify your own freight shipping options in your item description.","Indiquez vos propres options de transport dans la description de l'objet."
"Get It Fast","Livraison express"
"At least one qualifying shipping service and a single day dispatch time must be offered to enable this option.","Au moins un service de livraison et un délai d'expédition d'un jour doivent être proposés pour que cette option soit disponible."
"Exception handling times","Exception relative aux délais d'expédition "
"Same Business Day","Même jour ouvrable"
"The dispatch time is the time between the buyerâ€™s payment clearing and you sending the item. Buyers are increasingly expecting short dispatch times, ideally next day, but preferably within 3 working days. Click <a href=""http://sellercentre.ebay.co.uk/specify-your-item-location-and-dispatch-time"" target=""_blank"">here</a> to find out more.
                                    <br/><b>Note:</b> Magento Attribute must contain a numeric value. If you want to set 'Same Business Day' via attribute, set 0 in it.","Le délai d'expédition désigne le temps qui s'écoule entre la réception du paiement de l'acheteur et l'envoi de l'objet. Les acheteurs exigent de plus en plus souvent des délais d'expédition très courts, idéalement le jour suivant et de préférence dans les 3 jours ouvrables. Cliquez <a href=""http://sellercentre.ebay.co.uk/specify-your-item-location-and-dispatch-time"" target=""_blank"">ici</a> pour en savoir plus.                                    <br/><b>Remarque :</b> l'attribut Magento doit contenir une valeur numérique. Si vous souhaitez définir la valeur Même jour ouvrable via l'attribut, définissez une valeur de 0."
"Handling Cost","Frais d'expédition"
"Addition of handling cost to the shipping costs.","Ajout de frais d'expédition aux frais de livraison."
"Handling Cost Value","Valeur des frais d'expédition"
"Combined Shipping Profile","Profil de livraison groupée"
"Use the Flat Shipping Rule and Calculated Shipping Rule profiles, which were created on eBay.
                                                                                    <br /><br /><strong>Note:</strong> press ""Refresh Profiles"" button for upload new or refreshes eBay Shipping profiles.","Permet l'utilisation de profils de règles sur les frais de livraison fixes et calculés créés sur eBay.                                                                                    <br /><br /><strong>Remarque :</strong> cliquez sur le bouton « Actualiser les profils » pour charger de nouveaux profils de livraison eBay ou les actualiser."
"Refresh Profiles","Actualiser les profils"
"Use the Flat Shipping Rule and Calculated Shipping Rule profiles, which were created on eBay.
                                                                                                            <br /><br /><strong>Note:</strong> press ""Refresh Profiles"" button for upload new or refreshes eBay Shipping profiles.","Permet l'utilisation de profils de règles sur les frais de livraison fixes et calculés créés sur eBay.                                                                                                            <br /><br /><strong>Remarque :</strong> cliquez sur le bouton « Actualiser les profils » pour charger de nouveaux profils de livraison eBay ou les actualiser."
"You do not have eBay accounts added to M2E.","Vous n'avez aucun compte eBay ajouté dans M2E."
"Promotional Shipping Rule","Règle sur les frais de livraison promotionnels"
"Adding Shipping Discounts according to the rules that are set in your eBay Account.","Ajout de réductions sur les frais de livraison en fonction des règles définies dans votre compte eBay."
"""Cash On Delivery"" Cost","Frais de l'option « Contre remboursement »"
"Required when using COD Payment Method.","Obligatoire lorsque l'option Contre remboursement est sélectionnée comme mode de paiement."
"Cross Border Trade","Transactions à l'international"
"The international site visibility feature allows qualifying listings to be posted on international sites.
<br/>Buyers on these sites will see the listings exactly as you originally post them.
<br/><br/><b>Note:</b> There may be additional eBay charges for this option.","L'option de visibilité sur les sites internationaux permet d'afficher sur les sites internationaux les annonces qui répondent aux conditions.<br/>Les acheteurs de ces sites voient les annonces telles qu'elles sont affichées initialement.<br/><br/><b>Remarque :</b> des frais eBay supplémentaires peuvent être associés à cette option."
"eBay Site Visibility","Visibilité sur le site eBay"
"USA / Canada","Etats-Unis/Canada"
"United Kingdom","Royaume-Uni"
"International Shipping","Livraison internationale"
"Offer Global Shipping Program","Proposer le Service de livraison internationale"
"Simplifies selling an item to an international buyer. Click <a href=""http://pages.ebay.com/help/sell/shipping-globally.html"" target=""_blank"">here</a> to find out more.","Simplifie la vente d'un objet à un acheteur international. Cliquez <a href=""http://pages.ebay.com/help/sell/shipping-globally.html"" target=""_blank"">ici</a> pour en savoir plus."
"No International Shipping","Pas de livraison internationale"
"Promotional Shipping Rule:","Règle sur les frais de livraison promotionnels :"
"Add Shipping Discounts according to rules that are set in your eBay Account.","Ajouter des réductions sur les frais de livraison en fonction des règles définies dans votre Compte eBay."
"Measurement System","Système de mesure"
"English (lbs, oz, in)","Anglo-saxon (lbs, oz, in)"
"Metric (kg, g, cm)","Métrique (kg, g, cm)"
"Package Size Source","Source de la taille du colis"
"Dimension Source","Source des dimensions"
"Dimensions<br />(Width/Height/Depth)","Dimensions<br />(largeur/hauteur/profondeur)"
"inches","pouces"
"cm","cm"
"Dimensions (Width/Height/Depth)","Dimensions (largeur/hauteur/profondeur)"
"Weight Source","Source du poids"
"The Weight Attribute must have the weight of the item.","L'attribut du poids doit correspondre au poids de l'objet."
"lbs. oz.","lb. oz."
"kg. g.","kg. g."
"Weight","Poids"
"Postal code for the location from which the package will be shipped.","Code postal du lieu à partir duquel le colis sera expédié."
"Excluded Locations","Lieux exclus"
"To exclude buyers in certain locations from purchasing your item, create a shipping exclusion list.","Pour exclure des acheteurs situés dans certains pays, créez une liste d'exclusion de lieux de livraison."
"Locations","Lieux"
"Edit Exclusion List","Modifier la liste d'exclusions"
"Calculated","Frais calculés"
"Select the regions or countries you don't ship to.","Sélectionnez les zones géographiques ou les pays vers lesquels vous n'envoyez pas d'objet."
"Domestic","National"
"International","International"
"Additional","Autres"
