"eBay Motors","eBay Motori"
"Order currency is not enabled in Magento.<br />Please, enable it in System -> Configuration -> Currency Setup.","La valuta dell'ordine non è abilitata in Magento.<br />Abilitarla in Sistema -> Configurazione -> Impostazione valuta."
"There's no rate for Order currency in Magento.<br />Please, add currency convert rate in System -> Manage Currency -> Rates.","Nessun tasso per la valuta dell'ordine in Magento.<br />Aggiungi il tasso di conversione della valuta in Sistema -> Gestisci valuta -> Tassi."
"Payment Date","Data del pagamento"
"Payment Method","Metodo di pagamento"
"eBay Account","Account eBay"
"eBay Final Fee","Tariffa finale eBay"
"External Transactions","Transazioni esterne"
"Shipping & Handling Information","Informazioni sulla spedizione e sull'imballaggio"
"Shipping Selected Service","Servizio di spedizione selezionato"
"Global Shipping Program","Programma di spedizione internazionale"
"Shipping Cost","Spese di spedizione"
"Shipping Time","Tempi di spedizione"
"Tracking Details","Dettagli sul tracciamento"
"Carrier","Spedizioniere"
"Number","Numero"
"Global Shipping Details","Dettagli sulla spedizione internazionale"
"Reference ID","ID riferimento"
"eBay Warehouse Address","Indirizzo magazzino eBay"
"Shipping Service","Servizio di spedizione"
"Transaction Item(s)","Oggetti della transizione"
"Log History","Cronologia registro"
"Order Totals","Totali ordine"
"Subtotal","Totale parziale"
"Shipping & Handling","Spedizione e imballaggio"
"Tax","Imposte"
"Grand Total","Totale"
"Amount Paid","Importo pagato"
"Amount Saved","Importo salvato"
"Synchronization settings have been saved.","Le impostazioni della sincronizzazione sono state salvate."
"Running All Enabled Tasks","Esecuzione di tutte le attività abilitate"
"Inventory Synchronization","Sincronizzazione magazzino"
"Orders Synchronization","Sincronizzazione ordini"
"3rd Party Listings Synchronization","Sincronizzazione inserzioni di terze parti"
"Revise All","Modifica tutte"
"enabled","abilitata"
"If catalog updates in your magento performed using import/export tools, custom scripts or direct changes in database,
                    then, you can use <a target=""_blank"" href=""%s#magento_block_configuration_settings_advanced"">""Track Direct Database Changes""</a> %s functionality to detect changes in products' price and quantity.","Se gli aggiornamenti del catalogo in Magento vengono effettuati tramite strumenti di importazione o esportazione, script personalizzati o modifiche dirette nel database, puoi utilizzare la funzione %s <a target=""_blank"" href=""%s#magento_block_configuration_settings_advanced"">""Controlla modifiche dirette nel database""</a> per rilevare modifiche al prezzo o alla quantità dei prodotti."
"Updates and synchronizes eBay Listings according to Synchronization Policies' rules.","Aggiorna e sincronizza le inserzioni eBay in base alle Regole di sincronizzazione."
"If your eBay listings for some reason were asynchronized with the products in Magento, <a href=""javascript:"" onclick=""%s"">turn on</a> the Revise All action to catch data up.
    <br/>Revise is performed by the Inventory Synchronization, 100 items per a cycle.
<br/><br/>
    ","Se per qualche motivo la sincronizzazione delle inserzioni eBay con i prodotti in Magento è stata disabilitata, <a href=""javascript:"" onclick=""%s"">attiva</a> l'opzione Modifica tutte le azioni per recuperare i dati.    <br/>La modifica viene eseguita dalla sincronizzazione magazzino (100 oggetti per ciclo).<br/><br/>    "
"In Progress, start date - ","In corso, data di inizio: - "
"Finished, end date - ","Terminato, data di fine: - "
"Imports and synchronizes eBay Orders for accounts, which have enabled Import eBay Orders in their Accounts settings.","Importa e sincronizza gli ordini eBay per gli account che hanno abilitato Importa ordini eBay nelle impostazioni degli account."
"Imports buyers' feedback and automatically sends Auto Responses according to eBay Accounts settings.","Importa i Feedback degli acquirenti e invia automaticamente le risposte automatiche in base alle impostazioni degli account eBay."
"Imports and synchronizes 3rd Party Listings for eBay accounts, which have enabled Import 3rd Party Listings in their Accounts settings.<br/><strong>Note: </strong>Click ""Synchronization Settings"" to configure settings.","Importa e sincronizza le inserzioni di terze parti per gli account eBay che hanno abilitato Importa inserzioni di terze parti nelle impostazioni degli account.<br/><strong>Nota: </strong>clicca sul pulsante ""Impostazioni di sincronizzazione"" per configurare le impostazioni."
"Click 'Confirm' and Revise will be performed by the Inventory Synchronization, 100 items per a cycle.","Clicca su ""Conferma"" per consentire alla sincronizzazione del magazzino di apportare la modifica (100 oggetti per ciclo)."
"Set preferences of data synchronization and Save Settings.<br/>
    To run each task manually, click the Run Now button; to run all the tasks simultaneously click the Run Enabled Now button displayed at the top of the page.<br/>
    <br/><b>Note:</b> Cron job must be set up for automatic synchronization.","Definisci e salva le impostazioni per la sincronizzazione dei dati.<br/>    Per eseguire tutte le attività manualmente, clicca sul pulsante Esegui ora. Per eseguire tutte le attività contemporaneamente, clicca sul pulsante Esegui ora attività abilitate nella parte superiore della pagina.<br/>    <br/><b>Nota:</b> il processo cron deve essere impostato per la sincronizzazione automatica."
"This Log contains information on processes, which were done in Synchronization tasks.<br/><br/>
    <b>Note:</b> Logs of Default, Templates, Orders and 3rd Party Listings Synchronizations are only recorded when Error(s) or Warning(s) appears.","Questo registro contiene le informazioni sui processi che sono stati effettuati nelle attività di sincronizzazione.<br/><br/>    <b>Nota:</b> i registri delle sincronizzazioni predefinite, di modelli, ordini e inserzioni di terze parti vengono compilati solo in caso di visualizzazione di errori o avvisi."
"Adding Image","Aggiunta immagine"
"Condition description must be less then 1000 symbols.","La descrizione delle condizioni deve contenere al massimo 1.000 caratteri."
"New, New with tags, New with box, Brand New","Nuovo, Nuovo con etichette, nuovo nella confezione originale"
"New Other, New without tags, New without box","Nuovo - Altro, Nuovo senza etichette, Nuovo senza confezione originale"
"Seller Refurbished, Re-manufactured","Ricondizionato dal venditore, nuova produzione"
"Used, Pre-owned, Like new","Usato, Di seconda mano, Come nuovo"
"If item is not new, you can provide additional details about the item's condition, such as whether it has defects, missing parts, scratches, or other wear and tear. You have up to 1000 characters.","Se l'oggetto non è nuovo, puoi fornire ulteriori informazioni sulle condizioni dell'oggetto, ad esempio se è difettoso o se presenta pezzi mancanti, graffi o altri problemi attribuibili all'usura. Hai a disposizione 1.000 caratteri."
"Images & Watermark","Immagini e filigrana"
"The images your potential buyers will see on your eBay listing. Using lots of high-quality pictures provides a great shopping experience and helps to sell your items.<br/>","Le immagini che i potenziali acquirenti vedranno nella tua inserzione eBay. L'utilizzo di foto di elevata qualità migliora l'esperienza di acquisto e facilita la vendita degli oggetti. <br/>"
"You can add a watermark to your images. <br/><b>Note:</b> The watermark option is only available for the images hosted on Magento.","Puoi aggiungere una filigrana alle immagini. <br/><b>Nota:</b> l'opzione Filigrana è disponibile soltanto per le immagini in Magento."
"Main Image","Immagine principale"
"Product Base Image","Immagine di base prodotto"
"The first photo appears in the top left of your eBay item and next to your item's title in search results.
                                    <br/><b>Note:</b> Media Image Attribute or Attribute should contain absolute url. e.g. http://mymagentostore.com/images/baseimage.jpg","La prima foto verrà mostrata nella parte superiore sinistra dell'oggetto eBay e accanto al titolo dell'oggetto nei risultati della ricerca.                                    <br/><b>Nota:</b> nei campi Attributo immagine multimediale o Attributo è necessario inserire un URL assoluto. ad esempio http://mymagentostore.com/images/baseimage.jpg"
"Default Image Url","URL immagine predefinita"
"From 30 October 2013 eBay does not allow to list products without images. If a product does not have the Main Image this image will be used instead.<br/><b>Note:</b> Use absolute url. e.g. http://mymagentostore.com/images/defaultimage.jpg","Dal 30 ottobre 2013 su eBay non è consentito mettere in vendita prodotti senza immagini. Se non è stata prevista per un prodotto alcuna Immagine principale, verrà utilizzata al suo posto questa immagine.<br/><b>Nota:</b> utilizza un URL assoluto. ad esempio http://mymagentostore.com/images/defaultimage.jpg"
"Picture Pack","Pacchetto fotografico "
"Displays larger, more detailed pictures (up to 800w x 800h pixels - 800 pixels on the longest side). <br/><b>Note:</b> This feature may come with additional fee.","Visualizza immagini più grandi e dettagliate (fino a 800w x 800h pixel - 800 pixel sul lato più lungo).  <br/><b>Nota:</b> questa funzione viene fornita con il pagamento di una tariffa aggiuntiva."
"Gallery Images","Immagini della Galleria"
"Product Images","Immagini prodotto"
"Up to","Fino a"
"Adds small thumbnails that appear under the large Base Image. You can add up to 11 additional photos to each listing on eBay.
                                    <br/><b>Note:</b> Text, Multiple Select or Dropdown type attribute can be used. The value of attribute must contain absolute urls.
                                    <br/>In Text type attribute urls must be separated with comma.
                                    <br/>e.g. http://mymagentostore.com/images/baseimage1.jpg, http://mymagentostore.com/images/baseimage2.jpg","Aggiunge miniature di piccole dimensioni che appaiono sotto l'immagine di base grande. Puoi aggiungere fino a 11 foto aggiuntive a ogni inserzione su eBay.                                    <br/><b>Nota:</b> puoi utilizzare gli attributi di tipo Testo, Selezione multipla o Menu a discesa. Il valore dell'attributo deve contenere URL assoluti.                                    <br/>Nell'attributo del tipo Testo, gli url devono essere separati da una virgola.                                    <br/>ad esempio http://mymagentostore.com/images/baseimage1.jpg, http://mymagentostore.com/images/baseimage2.jpg"
"Allows changing images for selected option of multi variation items.(Applicable for Configurable products only).","Consente di modificare le immagini per l'opzione selezionata relativa alle inserzioni con varianti.(Applicabile ai soli prodotti Configurabile)."
"Use Watermark","Utilizza filigrana"
"Automatically adds your custom watermark to gallery images.","Aggiunge automaticamente la tua filigrana personalizzata alle immagini della galleria."
"Watermark Upload","Caricamento filigrana"
"Select image that you want to add as a watermark.","Seleziona l'immagine che desideri aggiungere come filigrana."
"Watermark Preview","Anteprima filigrana"
"Watermark Transparency","Trasparenza filigrana"
"Disable","Disabilita"
"Enable","Abilita"
"Sets transparency of watermark image to 30 %.","Imposta la trasparenza dell'immagine della filigrana su 30%."
"Scale Watermark Image","Ridimensiona immagine filigrana"
"In Width","In larghezza"
"Full Image","Immagine intera"
"Scales watermark image in width or full image.","Ridimensiona l'immagine della filigrana in larghezza o l'immagina intera."
"Watermark Position","Posizione filigrana"
"Top","Inizio"
"Middle","Al centro"
"Bottom","In basso"
"Watermark position on the image.","Posizione della filigrana sull'immagine."
"Details","Dettagli"
"Custom Title","Titolo personalizzato"
"This is the title buyers will see on eBay. A good title means more buyers viewing your listing and your item selling for the best price.","Questo è il titolo mostrato agli acquirenti su eBay. Un titolo efficace consente di attirare un numero maggiore di acquirenti e vendere l'oggetto a un prezzo più elevato."
"Add Subtitle","Aggiungi un sottotitolo"
"Adding subtitle to eBay item.
                                    <br/><b>Note:</b> An additional fee may be charged for an item subtitle. Find out more about <a href=""http://sellercentre.ebay.co.uk/insertion-fees-business-sellers"" target=""_blank"">eBay Insertion Fees</a>.","Aggiunta di un sottotitolo all'oggetto eBay.                                    <br/><b>Nota:</b> l'aggiunta di un sottotitolo potrebbe comportare l'applicazione di una tariffa aggiuntiva. Ulteriori informazioni sulle <a href=""http://sellercentre.ebay.co.uk/insertion-fees-business-sellers"" target=""_blank"">Tariffe d'inserzione eBay</a>."
"Cut Long Titles","Abbrevia titoli lunghi"
"Automatically shortens titles to 80 characters and subtitles to 55 characters to fit on eBay.","Adatta automaticamente titoli e sottotitoli ai limiti di eBay, rispettivamente 80 e 55 caratteri."
"It is possible to choose a Product Description or Product Short Description, which will be taken from Magento.
                    <br/>Or you can create a Custom Description by adding necessary information, appropriate attributes from dropdown lists and image tags.","È possibile scegliere Descrizione prodotto o Descrizione breve prodotto; entrambe saranno acquisite da Magento.                    <br/>In alternativa puoi creare una descrizione personalizzata aggiungendo le informazioni necessarie, gli attributi appropriati negli elenchi a discesa e i tag immagine."
"Description Source","Origine descrizione "
"Custom Description","Descrizione personalizzata"
"Item's description source for eBay Listing.
                                                <br/>
                                                <br/>It is possible to create custom description in 2 modes:
                                                <br/><b>WYSIWYG</b> - allows creating simple good looking product description. No HTML knowledge is required.
                                                <br/><b>HTML</b> - allows using HTML tags and CSS styles for the description. You can create much more complex, improved and advanced item's description using this mode.","Origine della descrizione dell'oggetto per l'inserzione eBay.                                                <br/>                                                <br/>È possibile creare la descrizione personalizzata in 2 modi:                                                <br/><b>WYSIWYG</b>: consente di creare una descrizione del prodotto semplice e accattivante. Non è necessario conoscere il linguaggio HTML.                                                <br/><b>HTML</b>: consente di utilizzare per la descrizione i tag HTML e gli stili CSS. Utilizzando questo modo puoi creare una descrizione dell'oggetto molto più complessa e avanzata."
"Custom Description Inserts","Inserti descrizione personalizzata "
"M2ePro Attribute","Attributo M2ePro"
"Product Image(s)","Immagini prodotto"
"Add Image(s)","Aggiungi immagini"
"Displaying Images","Visualizzazione immagini"
"Gallery View","Galleria"
"Image(s) Width","Larghezza immagini"
"Main Image Width","Larghezza immagine principale"
"Original","Originale"
"Custom","Personalizza"
"Image(s) Height","Altezza immagini"
"Main Image Height","Altezza immagine principale"
"Image(s) Margin","Margine immagini"
"Images Layout","Layout immagini"
"Horizontal","Orizzontale"
"Vertical","Verticale"
"Gallery Hint","Suggerimento galleria"
"Click on the image below to get zoomed view of the item","Fai clic sull'immagine seguente per ottenere una vista ingrandita dell'oggetto"
"Open original size image<br/> in a new  window","Apri l'immagine con le dimensioni originali<br/> in una nuova finestra"
"Choose configuration how the image(s) should be displayed and press the <i>Insert</i> button. Image's tag will be added to the end of the text.","Scegli la configurazione relativa alla visualizzazione delle immagini e premi il pulsante <i>Inserisci</i>. Il tag immagine verrà aggiunto alla fine del testo."
"eBay Catalog Identifier","Identificatore catalogo eBay"
"EAN","EAN"
"European Article Number, (now called International Article Number). This barcode is a superset of the UPC.","Numero articolo europeo (ora modificato in Numero articolo internazionale). Questo codice a barre è un insieme in cui rientra il codice UPC."
"UPC","UPC"
"The Universal Product Code is a barcode usually consisting of 12 numerical digits, which are unique for each item.","Il codice UPC (Universal Product Code) è un codice a barre composto in genere da 12 cifre numeriche uniche per ogni oggetto."
"ePID (Product Reference ID)","ePID (ID di riferimento del prodotto)"
"An eBay Product ID is eBay's global reference ID for a catalog product.","Un ID prodotto eBay è l'ID riferimento internazionale eBay per un prodotto del catalogo."
"ISBN","ISBN"
"The International Standard Book Number is a uniquenumeric book identifier.","Il numero ISBN (International Standard Book Number) è un identificatore alfanumerico per i libri."
"Upgrade Tools","Opzioni di vendita"
"Value Pack","Pacchetto visibilità"
"Value Pack Bundle","Pacchetto visibilità"
"Combine Gallery, Subtitle, and Listing Designer and you will get a discount.","Per ottenere uno sconto, combina Galleria, Sottotitolo e Disegna la tua inserzione."
"Listing Upgrades","Opzioni di vendita"
"Bold listing title","Titolo inserzione in grassetto"
"Find out about <a href=""http://sellercentre.ebay.co.uk/fees-optional-listing-features"" target=""_blank"">eBay optional listing features</a>","Ulteriori informazioni sulle <a href=""http://sellercentre.ebay.co.uk/fees-optional-listing-features"" target=""_blank"">funzioni di vendita facoltative di eBay</a>"
"Highlight","Evidenziatore"
"Adding an eye-catching background to your listing in search results.","Aggiunta di uno sfondo accattivante alla tua inserzione nei risultati della ricerca."
"Gallery Type","Tipo di galleria"
"Gallery Picture","Foto della Galleria"
"Gallery Plus","Galleria Plus"
"Gallery Featured","In Vetrina nella Galleria"
"Hit Counter","Contatore visite"
"No Hit Counter","Nessun contatore visite"
"Basic Style","Stile standard"
"Green LED","Spia verde"
"Hidden Style","Stile nascosto"
"Honesty Style","Stile honesty"
"Retro Style","Stile retro"
"Count the number of visitors to your eBay listing.<br/><b>Note:</b> Green LED and Honesty Style styles are available only in the US.","Conta il numero di utenti che hanno visitato la tua inserzione.<br/><b>Nota:</b> gli stili Green LED e Honesty Style sono disponibili soltanto negli Stati Uniti."
"Select Product","Seleziona il prodotto"
"Enter Product Id","Immetti ID prodotto"
"Select the payment, shipping and cross border options you would like eBay to use.","Seleziona le opzioni di pagamento, spedizione e per le transazioni internazionali che desideri utilizzare su eBay."
"Remember, you can amend Payment and Shipping Settings at any time.","Ricorda che puoi modificare in qualsiasi momento le impostazioni relative a pagamento e spedizione."
"Policy title is not unique.","Il titolo della regola non è univoco."
"You can adjust how long your items will be active on eBay. You can also choose the price on eBay in relation to your store price. You might want to increase your selling price to take into account the eBay seller fees, or reduce your price to be competitive.","Puoi scegliere per quanto tempo gli oggetti resteranno attivi su eBay. Puoi inoltre definire il prezzo su eBay in base al prezzo applicato in negozio. Puoi inoltre aumentare il prezzo di vendita per compensare le tariffe del venditore eBay o ridurre il prezzo per essere competitivo."
"Remember, you can amend Selling Settings at any time.","Ricorda che puoi modificare in qualsiasi momento le impostazioni relative alle vendite."
"Sync your accounts so you are always on top of your stock control and inventory.","Sincronizza gli account in modo da tenere sempre sotto controllo le scorte e il magazzino."
"Remember, you can amend Synchronization Settings at any time.","Ricorda che puoi modificare in qualsiasi momento le impostazioni relative alla sincronizzazione."
"There are 4 rule settings:
        <br/>
        <ul class=""list"">
            <li style=""list-style: decimal !important;"">List Rules</li>
            <li style=""list-style: decimal !important;"">Revise Rules</li>
            <li style=""list-style: decimal !important;"">Relist Rules</li>
            <li style=""list-style: decimal !important;"">Stop Rules</li>
        </ul>
        <b>Note:</b> Inventory Synchronization setting must be enabled in Synchronization (Configuration > Synchronization).
        Otherwise, Synchronization Policy Rules will not take effect.","Sono disponibili 4 impostazioni delle regole:        <br/>        <ul class=""list"">            <li style=""list-style: decimal !important;"">Regole inserzione</li>            <li style=""list-style: decimal !important;"">Modifica regole</li>            <li style=""list-style: decimal !important;"">Regole per la rimessa in vendita</li>            <li style=""list-style: decimal !important;"">Blocca regole</li>        </ul>        <b>Nota:</b> l'impostazione Sincronizzazione magazzino deve essere abilitata in Sincronizzazione (Configurazione > Sincronizzazione). In caso contrario, le Regole di sincronizzazione non verranno applicate."
"Be careful when you edit policies, as all changes you have made will be automatically applied to all M2E listings where these policies are used.
    <br/>If a policy is used in a M2E Listing, it cannot be deleted.","Presta attenzione quando modifichi le regole in quanto tutte le modifiche verranno applicate automaticamente alle inserzioni M2E che utilizzano queste regole.    <br/>Se viene utilizzata una regola in un'inserzione M2E, non è possibile eliminarla."
"Payment method should be specified.","È consigliabile specificare un metodo di pagamento."
"PayPal","PayPal"
"PayPal Accepted","PayPal accettato"
"PayPal Email Address","Indirizzo email PayPal"
"Email address for receiving payment.","Indirizzo email per ricezione pagamento."
"Immediate Payment Required","È richiesto il pagamento immediato"
"This is only applicable to items listed on PayPal-enabled sites in categories that support immediate payment, when a seller has a Premier or Business PayPal account.","Applicabile solo agli oggetti messi in vendita sui siti abilitati per PayPal nelle categorie che supportano il pagamento immediato, quando un venditore dispone di un conto PayPal Premier o Business."
"Additional Payment Methods","Ulteriori metodi di pagamento"
"Payment Methods","Metodi di pagamento"
"Return Policy","Regole sulla restituzione"
"Buyers are more comfortable shopping from sellers who offer <a href=""http://sellercentre.ebay.co.uk/offer-returns-policy"" target=""_blank"">returns policies</a>, even though most buyers will never return an item.
                                        <br/>Items with a clear returns policy typically sell better than items that don't have one.","Gli acquirenti preferiscono fare acquisti da venditori che offrono delle <a href=""http://sellercentre.ebay.co.uk/offer-returns-policy"" target=""_blank"">Regole sulla restituzione</a>, anche se gran parte di loro non restituirà mai un oggetto.                                        <br/>In genere, gli oggetti con Regole sulla restituzione chiare vengono venduti meglio di oggetti sprovvisti di tali regole."
"Refund Will Be Given As","Modalità di rimborso"
"Item Must Be Returned Within","L'oggetto deve essere restituito entro"
"Return Shipping Will Be Paid By","Le spese di spedizione della restituzione saranno pagate da"
"Restocking Fee Value","Tariffa di stoccaggio"
"Refund Description","Descrizione rimborso"
"Search For Charities","Cerca organizzazioni di beneficenza"
"Please select a percentage of donation","Seleziona una donazione in percentuale"
"If you do not see the organization you were looking for, try to enter another keywords and run the search again.","Se non trovi l'organizzazione che stavi cercando, prova a inserire altre parole chiave ed effettua nuovamente la ricerca."
"Please, enter the organization name or ID.","Inserisci il nome o l'ID dell'organizzazione."
"Max applicable length is 6 characters, including the decimal (e.g., 12.345).","La lunghezza massima applicabile è 6 caratteri, inclusi i decimali, ad esempio 12,345."
"Price Change is not valid.","La modifica del prezzo non è valida."
"Wrong value. Only integer numbers.","Valore errato. Solo numeri interi."
"The fixed price for immediate purchase.","Inserzioni Compralo Subito per l'acquisto immediato."
"The fixed price for immediate purchase.<br/>Find out more about <a href=""http://sellercentre.ebay.co.uk/add-buy-it-now-price-auction"" target=""_blank"">adding a Buy It Now price</a> to your listing.","Inserzioni Compralo Subito per l'acquisto immediato.<br/>Ulteriori informazioni su come <a href=""http://sellercentre.ebay.co.uk/add-buy-it-now-price-auction"" target=""_blank"">aggiungere un Prezzo Compralo Subito</a> all'inserzione."
"% of Price","% del prezzo"
"% of ""Buy It Now"" Price","% del prezzo ""Compralo Subito"""
"How You Want To Sell Your Item","Modalità di vendita desiderata per l'oggetto"
"Is your item for sale <a href=""http://sellercentre.ebay.co.uk/auction-style-or-fixed-price-listing"" target=""_blank"">auction-style, or fixed price</a>?","La tua inserzione è in formato <a href=""http://sellercentre.ebay.co.uk/auction-style-or-fixed-price-listing"" target=""_blank"">Asta online o Compralo Subito</a>?"
"<br/>Attribute must contain ID. ID for Fixed price is FixedPriceItem, for Auction is Chinese.","<br/>L'attributo deve contenere un ID. L'ID per Inserzioni Compralo Subito è FixedPriceItem, mentre per Asta online è Chinese."
"The buyer will be anonymous to other eBay users in a Private Listing.","In un'inserzione privata, l'acquirente verrà nascosto agli altri utenti eBay."
"Quantity And Duration","Quantità e durata"
"The length of time your eBay listing will be active. You can have it last 1, 3, 5, 7, 10, 30 days or Good 'Til Cancelled.
                                                                        <br />Good 'Til Cancelled listings renew automatically every 30 days unless all of the items sell, you end the listing, or the listing breaches an eBay policy.","Quanto tempo resterà attiva la tua inserzione eBay. La tua inserzione può durare 1, 3, 5, 7, 10, 30 giorni o puoi optare per un'Inserzione senza scadenza.                                                                        <br />Le inserzioni senza scadenza vengono rinnovate automaticamente ogni 30 giorni salvo quando vengono venduti tutti gli oggetti, se termini l'inserzione o se l'inserzione viola le Regole di eBay."
"<br/>Attribute must contain a whole number. If you choose ""Good Till Cancelled"" the attribute must contain 100.","<br/>L'attributo deve contenere un numero intero. Se selezioni ""Inserzione senza scadenza"", l'attributo deve contenere 100."
"Single Item","Singolo oggetto"
"Custom QTY Number","Numero QTÀ personalizzato"
"The number of items you have for sale.","Il numero di oggetti che hai messo in vendita."
"Conditional Quantity","Quantità condizionale"
"Choose specifically the number of items available for sale on eBay.","Scegli in particolare il numero di oggetti disponibili per la vendita su eBay."
"Maximum Quantity to Be Listed","Quantità massima da mettere in vendita"
"Set a maximum number to sell on eBay, e.g. if you have 10 items in stock but want to keep 2 items back, set a maximum quantity of 8.","Imposta un limite di vendita massimo su eBay, ad esempio se hai 10 oggetti in magazzino ma ne vuoi conservare 2, seleziona una quantità massima di 8."
"Out Of Stock Control","Controllo Esaurito"
"This is useful if you are waiting for additional stock of an item with the same eBay item ID. Instead of ending the listing and then recreating it when the inventory arrives, you can use this flag to hide the listing. Then when you have the item available, automatic or manual Revise will update the inventory and the listing will appear again. 
                                <br/><b>Note:</b> Once you list a product with this option it cannot be changed. To cancel it you should end and list the item again.","Questa funzione è utile se sei in attesa di scorte aggiuntive di un oggetto con lo stesso ID oggetto eBay Invece di chiudere e ricreare un'inserzione quando arrivano le scorte, puoi utilizzare questo contrassegno per nascondere l'inserzione. Quando avrai a disposizione l'oggetto, potrai aggiornare il magazzino con le opzioni Modifica automatica o Modifica manuale e l'inserzione tornerà visibile.                                 <br/><b>Nota:</b> quando metti in vendita un prodotto con questa opzione non potrai più modificarlo. Per rimuovere l'opzione, dovrai terminare l'inserzione e rimettere nuovamente in vendita l'oggetto."
"Ignore Variations","Ignora varianti"
"Select 'Yes' to list Configurable, Grouped, Bundle and Simple with Custom options products as Simple (without variations).","Seleziona ""Sì"" per mettere in vendita prodotti Configurabile, Raggruppato, Pacchetto e Semplice con opzioni personalizzate come se fossero prodotti Semplici (senza varianti)."
"Taxation","Tassazione"
"VAT Rate, %","Percentuale IVA, %"
"To specify a VAT rate, you must have an eBay business account and list the item on a VAT-enabled site: Ireland, India, Switzerland, Spain, Holland, Belgium, Italy, Germany, France, Austria or England. The item's VAT information appears on the item's listing page.","Per indicare l'aliquota dell'IVA devi disporre di un account professionale eBay e mettere in vendita l'oggetto su un sito in cui l'IVA è abilitata: Irlanda, India, Svizzera, Spagna, Paesi Bassi, Belgio, Italia, Germania, Francia, Austria o Inghilterra. Le informazioni sull'IVA verranno mostrate nella pagina dell'inserzione relativa all'oggetto."
"Use eBay Tax Table","Utilizza tabella imposte eBay"
"Charges sales tax according to the tax table of your eBay account. Available only for Canada, Canada (Fr), USA and eBay Motors.","Addebita le imposte sulla vendita in base alla tabella delle imposte del tuo account eBay. Disponibile solo per Canada, Canada (francese), Stati Uniti e eBay Motori."
"Tax Category","Categoria imposte"
"and","e il"
"eBay %s supports %s currencies. To switch the currency you want to sell for, go to %s > Configuration > <a target=""_blank"" href=""%s"">General</a>","eBay %s supporta %s valute. Per modificare la valuta che desideri utilizzare, vai su %s > Configurazione > <a target=""_blank"" href=""%s"">Generale</a>"
"Add VAT Percentage","Aggiungi aliquota IVA"
"Increases the price that will be sent on eBay by VAT Rate (%).<br/>e.g., VAT Rate = 19%, Magento Price = Â£10, Percentage increase = 2%;<br/>eBay Price will be counted as (Â£10 + 19%) + 2% = Â£12.14","Aggiungi l'aliquota IVA (%) al prezzo che verrà mostrato su eBay.<br/>ad esempio, aliquota IVA = 19%, Prezzo Magento = £10, Aumento percentuale = 2%;<br/>Il prezzo eBay sarà il seguente: (£10 + 19%) + 2% = £12,14"
"The accepted currency for the item. This has been determined by the eBay site you chose earlier.","La valuta accettata per l'oggetto. La valuta è stata determinata dal sito eBay che hai selezionato in precedenza."
"Price Change","Modifica del prezzo"
"[CURRENCY]","[VALUTA]"
