"eBay Motors","eBay Motor"
"eBay Final Fee","Comisión por venta realizada de eBay"
"External Transactions","Transacciones externas"
"Shipping & Handling Information","Información de envío y manipulación"
"Shipping Selected Service","Servicio de envío seleccionado"
"Global Shipping Program","Programa de envíos globales"
"Shipping Cost","Gastos de envío"
"Shipping Time","Tiempo de envío"
"Tracking Details","Información de seguimiento"
"Carrier","Empresa de transportes"
"Number","Número"
"Global Shipping Details","Detalles de envíos globales"
"Reference ID","Identificador de referencia"
"eBay Warehouse Address","Dirección del almacén de eBay"
"Shipping Service","Servicio de envío"
"Transaction Item(s)","Artículos de la transacción"
"Log History","Historial de registro"
"Order Totals","Totales del pedido"
"Subtotal","Subtotal"
"Shipping & Handling","Gastos de envío y manipulación"
"Tax","Impuesto"
"Grand Total","Total"
"Amount Paid","Importe pagado"
"Amount Saved","Importe ahorrado"
"Synchronization settings have been saved.","Se ha guardado la configuración de sincronización."
"Running All Enabled Tasks","Ejecutando todas las tareas activadas"
"Inventory Synchronization","Sincronización del inventario"
"Orders Synchronization","Sincronización de pedidos"
"3rd Party Listings Synchronization","Sincronización de anuncios externos"
"Revise All","Modificar todo"
"enabled","activada"
"If catalog updates in your magento performed using import/export tools, custom scripts or direct changes in database,
                    then, you can use <a target=""_blank"" href=""%s#magento_block_configuration_settings_advanced"">""Track Direct Database Changes""</a> %s functionality to detect changes in products' price and quantity.","Si las actualizaciones de catálogo en Magento se han realizado con herramientas de importación o exportación, secuencias de comandos personalizadas o cambios directos, puedes usar la función <a target=""_blank"" href=""%s#magento_block_configuration_settings_advanced"">""Seguimiento de cambios directos en la base de datos""</a> de %s para detectar los cambios en el precio y la cantidad de los productos."
"Updates and synchronizes eBay Listings according to Synchronization Policies' rules.","Actualiza y sincroniza los anuncios de eBay de acuerdo con las reglas de las políticas de sincronización."
"If your eBay listings for some reason were asynchronized with the products in Magento, <a href=""javascript:"" onclick=""%s"">turn on</a> the Revise All action to catch data up.
    <br/>Revise is performed by the Inventory Synchronization, 100 items per a cycle.
<br/><br/>
    ","Si por algún motivo tus anuncios de eBay no están sincronizados con los productos de Magento, <a href=""javascript:"" onclick=""%s"">activa</a> la acción Modificar todo para obtener los datos.        <br/>La modificación se lleva a cabo mediante la sincronización del inventario, 100 artículos por ciclo.<br/><br/>    "
"In Progress, start date - ","En curso, fecha de inicio: "
"Finished, end date - ","Finalizado, fecha de finalización: "
"Imports and synchronizes eBay Orders for accounts, which have enabled Import eBay Orders in their Accounts settings.","Importa y sincroniza los pedidos de eBay de las cuentas que tienen activada la opción Importar pedidos de eBay en la configuración de cuentas."
"Imports buyers' feedback and automatically sends Auto Responses according to eBay Accounts settings.","Importa los votos de los compradores y envía respuestas automáticas según la configuración de Cuentas de eBay."
"Imports and synchronizes 3rd Party Listings for eBay accounts, which have enabled Import 3rd Party Listings in their Accounts settings.<br/><strong>Note: </strong>Click ""Synchronization Settings"" to configure settings.","Importa y sincroniza los anuncios externos para las cuentas de eBay que tienen activada la opción Importar anuncios externos en la configuración de cuentas.<br/><strong>Nota: </strong>pulsa ""Configuración de sincronización"" para configurar estos valores."
"Click 'Confirm' and Revise will be performed by the Inventory Synchronization, 100 items per a cycle.","Pulsa ""Confirmar"" y la modificación se llevará a cabo mediante la sincronización del inventario, 100 artículos por ciclo."
"Set preferences of data synchronization and Save Settings.<br/>
    To run each task manually, click the Run Now button; to run all the tasks simultaneously click the Run Enabled Now button displayed at the top of the page.<br/>
    <br/><b>Note:</b> Cron job must be set up for automatic synchronization.","Establece las preferencias de sincronización de los datos y guarda la configuración.<br/>    Para ejecutar cada tarea manualmente, pulsa el botón Ejecutar ahora; para ejecutar todas las tareas simultáneamente, pulsa el botón Ejecutar activado ahora, que se muestra en la parte superior de la página.<br/>    <br/><b>Nota</b>: para realizar una sincronización automática, debe configurarse el trabajo de cron."
"This Log contains information on processes, which were done in Synchronization tasks.<br/><br/>
    <b>Note:</b> Logs of Default, Templates, Orders and 3rd Party Listings Synchronizations are only recorded when Error(s) or Warning(s) appears.","Este registro contiene información sobre los procesos que se realizaron en las tareas de sincronización.<br/><br/>    <b>Nota:</b> los registros de la sincronización de valores predeterminados, plantillas, pedidos y anuncios externos solo se guardan cuando aparecen errores o advertencias."
"Adding Image","Añadiendo imagen"
"Condition description must be less then 1000 symbols.","La descripción del estado debe tener menos de 1.000 caracteres."
"New, New with tags, New with box, Brand New","Nuevo, Nuevo con etiquetas, Nuevo en paquete, Totalmente nuevo"
"New Other, New without tags, New without box","Nuevo de otro tipo, Nuevo sin etiquetas, Nuevo sin paquete"
"Seller Refurbished, Re-manufactured","Reparado por el vendedor, Reelaborado"
"Used, Pre-owned, Like new","Usado, Segunda mano, Como nuevo"
"If item is not new, you can provide additional details about the item's condition, such as whether it has defects, missing parts, scratches, or other wear and tear. You have up to 1000 characters.","Si el artículo no es nuevo, puedes proporcionar detalles adicionales sobre su estado, por ejemplo, si tiene defectos, le faltan piezas, está arañado o tiene otros signos de deterioro y desgaste. Puedes usar un máximo de 1.000 caracteres."
"Images & Watermark","Imágenes y marcas de agua"
"The images your potential buyers will see on your eBay listing. Using lots of high-quality pictures provides a great shopping experience and helps to sell your items.<br/>","Las imágenes que los posibles compradores verán en el anuncio de eBay. La inclusión de muchas imágenes de alta calidad proporciona una excelente experiencia de compra y ayuda a vender tus artículos. <br/>"
"You can add a watermark to your images. <br/><b>Note:</b> The watermark option is only available for the images hosted on Magento.","Puedes añadir una marca de agua a las imágenes. <br/><b>Nota:</b> la opción de marca de agua solo está disponible para las imágenes alojadas en Magento."
"Main Image","Imagen principal"
"Product Base Image","Imagen básica del producto"
"The first photo appears in the top left of your eBay item and next to your item's title in search results.
                                    <br/><b>Note:</b> Media Image Attribute or Attribute should contain absolute url. e.g. http://mymagentostore.com/images/baseimage.jpg","La primera foto aparece en la parte superior izquierda del artículo de eBay y junto al título de este en los resultados de búsqueda.                                    <br/><b>Nota:</b> Atributo de imagen multimedia o Atributo deben contener una URL absoluta. Por ejemplo: http://mymagentostore.com/images/baseimage.jpg"
"Default Image Url","URL de la imagen predeterminada"
"From 30 October 2013 eBay does not allow to list products without images. If a product does not have the Main Image this image will be used instead.<br/><b>Note:</b> Use absolute url. e.g. http://mymagentostore.com/images/defaultimage.jpg","Desde el 30 de octubre de 2013, eBay no permite poner en venta productos sin imágenes. Si un producto no tiene una imagen principal, esta imagen se usará en su lugar.<br/><b>Nota:</b> usa una URL absoluta. Por ejemplo: http://mymagentostore.com/images/defaultimage.jpg"
"Picture Pack","Paquete de imágenes"
"Displays larger, more detailed pictures (up to 800w x 800h pixels - 800 pixels on the longest side). <br/><b>Note:</b> This feature may come with additional fee.","Muestra imágenes más grandes con mayor detalle (hasta 800 x 800 píxeles: 800 píxeles por el lado más largo). <br/><b>Nota</b>: esta función puede conllevar el pago de una tarifa adicional."
"Gallery Images","Imágenes de la galería"
"Product Images","Imágenes del producto"
"Up to","Hasta"
"Adds small thumbnails that appear under the large Base Image. You can add up to 11 additional photos to each listing on eBay.
                                    <br/><b>Note:</b> Text, Multiple Select or Dropdown type attribute can be used. The value of attribute must contain absolute urls.
                                    <br/>In Text type attribute urls must be separated with comma.
                                    <br/>e.g. http://mymagentostore.com/images/baseimage1.jpg, http://mymagentostore.com/images/baseimage2.jpg","Añade pequeñas imágenes en miniatura que aparecen bajo la imagen básica a tamaño grande. Puedes añadir hasta 11 fotos adicionales a cada anuncio de eBay.                                    <br/><b>Nota:</b> se pueden usar atributos de texto, selección múltiple o lista desplegable. El valor del atributo debe contener URL absolutas.                                    <br/>En los atributos de tipo Texto, las direcciones URL deben separarse por comas.                                    <br/>Por ejemplo: http://mymagentostore.com/images/baseimage1.jpg, http://mymagentostore.com/images/baseimage2.jpg"
"Allows changing images for selected option of multi variation items.(Applicable for Configurable products only).","Permite cambiar las imágenes de la opción seleccionada para los artículos con diferentes variantes.(Aplicable solo a productos configurables)."
"Use Watermark","Usar marca de agua"
"Automatically adds your custom watermark to gallery images.","Añade automáticamente tu marca de agua personalizada a tus imágenes de la galería."
"Watermark Upload","Envío de marca de agua"
"Select image that you want to add as a watermark.","Selecciona la imagen que quieres añadir como marca de agua."
"Watermark Preview","Vista previa de marca de agua"
"Watermark Transparency","Transparencia de marca de agua"
"Disable","Desactivar"
"Enable","Activar"
"Sets transparency of watermark image to 30 %.","Establece la transparencia de la imagen de marca de agua en el 30 %."
"Scale Watermark Image","Escala de la imagen de marca de agua"
"In Width","En ancho"
"Full Image","Imagen completa"
"Scales watermark image in width or full image.","Cambia la escala de la imagen de marca de agua en ancho o en imagen completa."
"Watermark Position","Posición de la marca de agua"
"Top","Arriba"
"Middle","Centro"
"Bottom","Abajo"
"Watermark position on the image.","Posición de la marca de agua en la imagen."
"Details","Detalles"
"Custom Title","Título personalizado"
"This is the title buyers will see on eBay. A good title means more buyers viewing your listing and your item selling for the best price.","El título que los compradores verán en eBay. Con un buen título puedes conseguir que un mayor número de compradores visite tu anuncio y que tu artículo se venda al mejor precio."
"Add Subtitle","Añadir subtítulo"
"Adding subtitle to eBay item.
                                    <br/><b>Note:</b> An additional fee may be charged for an item subtitle. Find out more about <a href=""http://sellercentre.ebay.co.uk/insertion-fees-business-sellers"" target=""_blank"">eBay Insertion Fees</a>.","Añadiendo subtítulo al artículo de eBay.                                    <br/><b>Nota:</b> es posible que se cobre una tarifa adicional por añadir un subtítulo a un artículo. Obtén más información sobre las <a href=""http://sellercentre.ebay.co.uk/insertion-fees-business-sellers"" target=""_blank"">tarifas de publicación de anuncios de eBay</a>."
"Cut Long Titles","Cortar títulos largos"
"Automatically shortens titles to 80 characters and subtitles to 55 characters to fit on eBay.","Reduce automáticamente los títulos a 80 caracteres y los subtítulos a 55 caracteres para ajustarse a eBay."
"It is possible to choose a Product Description or Product Short Description, which will be taken from Magento.
                    <br/>Or you can create a Custom Description by adding necessary information, appropriate attributes from dropdown lists and image tags.","Se puede elegir una descripción o descripción breve del producto, que se tomará de Magento.                    <br/>Si lo prefieres, puedes crear una descripción personalizada añadiendo la información necesaria y los atributos adecuados mediante las listas desplegables y las etiquetas de imagen."
"Description Source","Origen de la descripción"
"Custom Description","Descripción personalizada"
"Item's description source for eBay Listing.
                                                <br/>
                                                <br/>It is possible to create custom description in 2 modes:
                                                <br/><b>WYSIWYG</b> - allows creating simple good looking product description. No HTML knowledge is required.
                                                <br/><b>HTML</b> - allows using HTML tags and CSS styles for the description. You can create much more complex, improved and advanced item's description using this mode.","Fuente de la descripción del artículo en el anuncio de eBay.                                                <br/>                                                <br/>Es posible crear una descripción personalizada de dos modos:                                                <br/><b>WYSIWYG</b>: permite crear una descripción de producto simple con un buen aspecto. No se requieren conocimientos de HTML.                                                <br/><b>HTML</b>: permite el uso de etiquetas HTML y estilos CSS en la descripción. Con este modo, puedes crear una descripción del artículo más compleja, mejorada y avanzada."
"Custom Description Inserts","Inserciones de descripciones personalizadas"
"M2ePro Attribute","Atributo M2ePro"
"Product Image(s)","Imágenes del producto"
"Add Image(s)","Añadir imágenes"
"Displaying Images","Mostrando imágenes"
"Gallery View","Vista de Galería"
"Image(s) Width","Ancho de las imágenes"
"Main Image Width","Ancho de la imagen principal"
"Original","Original"
"Custom","Personalizado"
"Image(s) Height","Alto de las imágenes"
"Main Image Height","Alto de la imagen principal"
"Image(s) Margin","Margen de las imágenes"
"Images Layout","Diseño de las imágenes"
"Horizontal","Horizontal"
"Vertical","Vertical"
"Gallery Hint","Sugerencia de la galería"
"Click on the image below to get zoomed view of the item","Pulsa la imagen siguiente para obtener una vista ampliada del artículo"
"Open original size image<br/> in a new  window","Abre la imagen a tamaño original<br/> en una ventana nueva."
"Choose configuration how the image(s) should be displayed and press the <i>Insert</i> button. Image's tag will be added to the end of the text.","Elige la configuración del modo en que se deben mostrar las imágenes y pulsa el botón <i>Insertar</i>. La etiqueta de la imagen se añadirá al final del texto."
"eBay Catalog Identifier","Identificador de catálogo de eBay"
"EAN","EAN"
"European Article Number, (now called International Article Number). This barcode is a superset of the UPC.","Número europeo de artículo (European Article Number) (ahora llamado International Article Number). Este código de barras es un superconjunto del UPC."
"UPC","UPC"
"The Universal Product Code is a barcode usually consisting of 12 numerical digits, which are unique for each item.","El código universal de producto (Universal Product Code) es un código de barras que suele constar de 12 dígitos y que es exclusivo de cada artículo."
"ePID (Product Reference ID)","ePID (identificador de referencia de producto)"
"An eBay Product ID is eBay's global reference ID for a catalog product.","Un identificador de producto de eBay es el identificador de referencia global de eBay de un producto del catálogo."
"ISBN","ISBN"
"The International Standard Book Number is a uniquenumeric book identifier.","El número estándar internacional para libros (International Standard Book Number) es un identificador numérico exclusivo para libros."
"Upgrade Tools","Actualizar herramientas"
"Value Pack","Pack Ahorro"
"Value Pack Bundle","Conjunto Pack Ahorro"
"Combine Gallery, Subtitle, and Listing Designer and you will get a discount.","Combina Galería, Subtítulo y Diseñador de anuncios para obtener un descuento."
"Listing Upgrades","Opciones de mejora de anuncio"
"Bold listing title","Título del anuncio en negrita"
"Find out about <a href=""http://sellercentre.ebay.co.uk/fees-optional-listing-features"" target=""_blank"">eBay optional listing features</a>","Obtén información sobre las <a href=""http://sellercentre.ebay.co.uk/fees-optional-listing-features"" target=""_blank"">funciones opcionales para anuncios de eBay</a>"
"Highlight","Resaltar"
"Adding an eye-catching background to your listing in search results.","Añadir un fondo llamativo a tu anuncio en los resultados de la búsqueda."
"Gallery Type","Tipo de galería"
"Gallery Picture","Imagen de la Galería"
"Gallery Plus","Galería ampliada"
"Gallery Featured","Las estrellas de la Galería"
"Hit Counter","Contador de visitas"
"No Hit Counter","Sin contador de visitas"
"Basic Style","Estilo básico"
"Green LED","Piloto verde"
"Hidden Style","Estilo oculto"
"Honesty Style","Estilo honestidad"
"Retro Style","Estilo retro"
"Count the number of visitors to your eBay listing.<br/><b>Note:</b> Green LED and Honesty Style styles are available only in the US.","Cuenta el número de visitas a tu anuncio de eBay.<br/><b>Nota:</b> los estilos Piloto verde y Estilo honestidad solo están disponibles en EE. UU."
"Select Product","Seleccionar producto"
"Enter Product Id","Introducir identificador de producto"
"Select the payment, shipping and cross border options you would like eBay to use.","Selecciona las opciones de pago, envío y comercio internacional que quieres que se usen en eBay."
"Remember, you can amend Payment and Shipping Settings at any time.","Recuerda que puedes modificar la configuración de pago y envío en cualquier momento."
"Policy title is not unique.","El título de la política no es único."
"You can adjust how long your items will be active on eBay. You can also choose the price on eBay in relation to your store price. You might want to increase your selling price to take into account the eBay seller fees, or reduce your price to be competitive.","Puedes ajustar el tiempo que tus artículos estarán activos en eBay. También puedes elegir el precio en eBay en relación con el precio de la tienda. Puede que te interese aumentar el precio de venta para tener en cuenta las tarifas de vendedor de eBay, o bien reducirlo para ser competitivo."
"Remember, you can amend Selling Settings at any time.","Recuerda que puedes modificar la configuración de venta en cualquier momento."
"Sync your accounts so you are always on top of your stock control and inventory.","Sincroniza tus cuentas para tener siempre el máximo control de las existencias y el inventario."
"Remember, you can amend Synchronization Settings at any time.","Recuerda que puedes modificar la configuración de sincronización en cualquier momento."
"There are 4 rule settings:
        <br/>
        <ul class=""list"">
            <li style=""list-style: decimal !important;"">List Rules</li>
            <li style=""list-style: decimal !important;"">Revise Rules</li>
            <li style=""list-style: decimal !important;"">Relist Rules</li>
            <li style=""list-style: decimal !important;"">Stop Rules</li>
        </ul>
        <b>Note:</b> Inventory Synchronization setting must be enabled in Synchronization (Configuration > Synchronization).
        Otherwise, Synchronization Policy Rules will not take effect.","Hay cuatro configuraciones de reglas:        <br/>        <ul class=""list"">            <li style=""list-style: decimal !important;"">Reglas de puesta en venta</li>            <li style=""list-style: decimal !important;"">Reglas de revisión</li>            <li style=""list-style: decimal !important;"">Reglas para volver a poner en venta</li>            <li style=""list-style: decimal !important;"">Reglas de detención</li>        </ul>        <b>Nota:</b> la configuración Sincronización del inventario debe estar activada en Sincronización (Configuración > Sincronización). De lo contrario, las reglas de la política de sincronización no se aplicarán."
"Be careful when you edit policies, as all changes you have made will be automatically applied to all M2E listings where these policies are used.
    <br/>If a policy is used in a M2E Listing, it cannot be deleted.","Ten cuidado al modificar las políticas, ya que todos los cambios que realices se aplicarán automáticamente a todos los anuncios de M2E que usen dichas políticas.    <br/>Si una política se usa en un anuncio de M2E, no se podrá eliminar."
"Payment method should be specified.","Se debe especificar la forma de pago."
"PayPal","PayPal"
"PayPal Accepted","Se acepta PayPal"
"PayPal Email Address","Correo electrónico de PayPal"
"Email address for receiving payment.","Correo electrónico para recepción de pagos."
"Immediate Payment Required","Pago inmediato obligatorio"
"This is only applicable to items listed on PayPal-enabled sites in categories that support immediate payment, when a seller has a Premier or Business PayPal account.","Esto solo se aplica a artículos puestos en venta en sitios que admiten PayPal pertenecientes a categorías que admiten pago inmediato, siempre que el vendedor tenga una cuenta PayPal Premier o Business."
"Additional Payment Methods","Formas de pago adicionales"
"Payment Methods","Formas de pago"
"Return Policy","Política de devoluciones"
"Buyers are more comfortable shopping from sellers who offer <a href=""http://sellercentre.ebay.co.uk/offer-returns-policy"" target=""_blank"">returns policies</a>, even though most buyers will never return an item.
                                        <br/>Items with a clear returns policy typically sell better than items that don't have one.","El comprador se siente más seguro al comprar productos de vendedores que ofrecen <a href=""http://sellercentre.ebay.co.uk/offer-returns-policy"" target=""_blank"">políticas de devoluciones</a>, si bien la mayoría de los compradores nunca devuelven los artículos.                                        <br/>Los artículos con una política de devoluciones clara suelen venderse mejor que los que no la tienen."
"Refund Will Be Given As","Forma del reembolso"
"Item Must Be Returned Within","Plazo para devolver el artículo"
"Return Shipping Will Be Paid By","Los gastos de envío los pagará el"
"Restocking Fee Value","Valor de la tarifa de reposición"
"Refund Description","Descripción del reembolso"
"Search For Charities","Buscar organizaciones benéficas"
"Please select a percentage of donation","Selecciona un porcentaje de donación"
"If you do not see the organization you were looking for, try to enter another keywords and run the search again.","Si la organización que buscas no aparece, especifica otras palabras clave y ejecuta la búsqueda de nuevo."
"Please, enter the organization name or ID.","Escribe el nombre de la organización o su identificador."
"Max applicable length is 6 characters, including the decimal (e.g., 12.345).","La longitud máxima aplicable es de seis caracteres, incluidos los decimales (por ejemplo, 12,345)."
"Price Change is not valid.","El cambio de precio no es válido."
"Wrong value. Only integer numbers.","Valor erróneo. Solo números enteros."
"The fixed price for immediate purchase.","Precio fijo para la compra inmediata."
"The fixed price for immediate purchase.<br/>Find out more about <a href=""http://sellercentre.ebay.co.uk/add-buy-it-now-price-auction"" target=""_blank"">adding a Buy It Now price</a> to your listing.","Precio fijo para la compra inmediata.<br/>Obtén más información sobre cómo <a href=""http://sellercentre.ebay.co.uk/add-buy-it-now-price-auction"" target=""_blank"">añadir un precio ¡Cómpralo ya!</a> a tu anuncio."
"% of Price","% del precio"
"% of ""Buy It Now"" Price","% del precio ""¡Cómpralo ya!"""
"How You Want To Sell Your Item","Cómo quieres vender tu artículo"
"Is your item for sale <a href=""http://sellercentre.ebay.co.uk/auction-style-or-fixed-price-listing"" target=""_blank"">auction-style, or fixed price</a>?","¿Quieres vender el artículo en formato <a href=""http://sellercentre.ebay.co.uk/auction-style-or-fixed-price-listing"" target=""_blank"">Subasta o Precio fijo</a>?"
"<br/>Attribute must contain ID. ID for Fixed price is FixedPriceItem, for Auction is Chinese.","<br/>El atributo debe incluir un identificador. El identificador de Precio fijo es FixedPriceItem y de subasta es Chinese."
"The buyer will be anonymous to other eBay users in a Private Listing.","En un anuncio privado, el comprador será anónimo para el resto de usuarios de eBay."
"Quantity And Duration","Cantidad y duración"
"The length of time your eBay listing will be active. You can have it last 1, 3, 5, 7, 10, 30 days or Good 'Til Cancelled.
                                                                        <br />Good 'Til Cancelled listings renew automatically every 30 days unless all of the items sell, you end the listing, or the listing breaches an eBay policy.","El tiempo que el anuncio de eBay estará activo. Puedes definir una duración de 1, 3, 5, 7, 10 o 30 días o elegir Anuncio abierto.                                                                        <br />Los anuncios abiertos se renuevan automáticamente cada 30 días a menos que se vendan todos los artículos, finalices el anuncio o éste infrinja una política de eBay."
"<br/>Attribute must contain a whole number. If you choose ""Good Till Cancelled"" the attribute must contain 100.","<br/>El atributo debe incluir un número entero. Si eliges ""Anuncio abierto"", el atributo debe contener 100."
"Single Item","Artículo individual"
"Custom QTY Number","Número de cantidad personalizado"
"The number of items you have for sale.","El número de artículos que tienes en venta."
"Conditional Quantity","Cantidad condicional"
"Choose specifically the number of items available for sale on eBay.","Elige específicamente el número de artículos disponibles para venderse en eBay."
"Maximum Quantity to Be Listed","Cantidad máxima que se pondrá en venta"
"Set a maximum number to sell on eBay, e.g. if you have 10 items in stock but want to keep 2 items back, set a maximum quantity of 8.","Establece un número máximo para vender en eBay; p. ej., si tienes 10 artículos disponibles, pero quieres conservar dos, establece la cantidad máxima 8."
"Out Of Stock Control","Control Sin existencias"
"This is useful if you are waiting for additional stock of an item with the same eBay item ID. Instead of ending the listing and then recreating it when the inventory arrives, you can use this flag to hide the listing. Then when you have the item available, automatic or manual Revise will update the inventory and the listing will appear again. 
                                <br/><b>Note:</b> Once you list a product with this option it cannot be changed. To cancel it you should end and list the item again.","Esta opción es útil si esperas recibir existencias adicionales de un artículo con el mismo número de artículo de eBay. En lugar de finalizar el anuncio y volver a crearlo al recibir las existencias, puedes usar esta marca para ocultar el anuncio. Después, cuando el artículo esté disponible, el inventario se actualizará mediante la modificación automática o manual y el anuncio volverá a aparecer.                                 <br/><b>Nota:</b> una vez que hayas puesto en venta un producto con esta opción, no se podrá cambiar. Para cancelarlo, deberás finalizarlo y poner en venta el artículo de nuevo."
"Ignore Variations","Omitir variantes"
"Select 'Yes' to list Configurable, Grouped, Bundle and Simple with Custom options products as Simple (without variations).","Selecciona 'Sí' para poner en venta productos configurables, agrupados, de conjunto y simples con opciones personalizadas como artículos simples (sin variantes)."
"Taxation","Impuestos"
"VAT Rate, %","Tipo de IVA, %"
"To specify a VAT rate, you must have an eBay business account and list the item on a VAT-enabled site: Ireland, India, Switzerland, Spain, Holland, Belgium, Italy, Germany, France, Austria or England. The item's VAT information appears on the item's listing page.","Para especificar un tipo de IVA, debes tener una cuenta Empresa de eBay y poner en venta el artículo en un sitio que incluya el IVA: Irlanda, India, Suiza, España, Países Bajos, Bélgica, Italia, Alemania, Francia, Austria o Inglaterra. La información del IVA del artículo aparece en la página del anuncio de éste."
"Use eBay Tax Table","Usar la tabla de impuestos de eBay"
"Charges sales tax according to the tax table of your eBay account. Available only for Canada, Canada (Fr), USA and eBay Motors.","Se cobra el impuesto de ventas según la tabla de impuestos de tu cuenta de eBay. Solo disponible para Canadá, Canadá (Fr), EE. UU. e eBay Motor."
"Tax Category","Categoría de impuesto"
"and","y"
"eBay %s supports %s currencies. To switch the currency you want to sell for, go to %s > Configuration > <a target=""_blank"" href=""%s"">General</a>","eBay %s admite %s divisas. Para cambiar la divisa que quieres usar para vender, ve a %s > Configuración > <a target=""_blank"" href=""%s"">General</a>."
"Add VAT Percentage","Añadir porcentaje de IVA"
"Increases the price that will be sent on eBay by VAT Rate (%).<br/>e.g., VAT Rate = 19%, Magento Price = Â£10, Percentage increase = 2%;<br/>eBay Price will be counted as (Â£10 + 19%) + 2% = Â£12.14","Aumenta el precio que se enviará a eBay según el tipo de IVA (%).<br/>P. ej., Tipo de IVA = 19%, Precio de Magento = 10 €, Porcentaje de aumento = 2%;<br/>El precio de eBay se contará como (10 € + 19%) + 2% = 12,14 €"
"The accepted currency for the item. This has been determined by the eBay site you chose earlier.","La divisa aceptada para el artículo. La determina el sitio de eBay elegido anteriormente."
"Price Change","Cambio de precio"
"[CURRENCY]","[DIVISA]"
"
                                                        A value you want the Magento Price to be modified while listing on eBay.
                                                        <br/>
                                                        <br/><b>Absolute Value increase</b>
                                                        <br/>This will increase the price on eBay compared to the price on Magento,
                                                        <br/>e.g. if you wish to increase the price of an item selling on eBay
                                                        <br/>by #currency_placeholder#1.50, type â€œ1.5â€ into the box.
                                                        <br/>
                                                        <br/><b>Absolute Value decrease</b>
                                                        <br/>This will reduce the price on eBay compared to the price on Magento,
                                                        <br/>e.g. if you wish to reduce the price of an item selling on eBay
                                                        <br/>by #currency_placeholder#1.50, type â€œ1.5â€ into the box.
                                                        <br/>
                                                        <br/><b>Percentage increase (%)</b>
                                                        <br/>This will increase the price on eBay compared to the price on Magento,
                                                        <br/>e.g. you wish to increase by 10% the price
                                                        <br/>of a #currency_placeholder#2.00 item selling on your Magento store.
                                                        <br/>In the box type â€œ10â€. The item will then go on sale
                                                        <br/>for #currency_placeholder#2.2 on eBay.
                                                        <br/>
                                                        <br/><b>Percentage decrease (%)</b>
                                                        <br/>This will reduce the price on eBay compared to the price on Magento,
                                                        <br/>e.g. you wish to reduce by 10% the price of a #currency_placeholder#2.00 item selling
                                                        <br/>on your Magento store.
                                                        <br/>In the box type: â€œ10â€. The item will then go on sale for #currency_placeholder#1.80
                                                        <br/>on eBay.
                                                    ","                                                        El valor por el que quieres modificar el precio de Magento al poner en venta artículos en eBay.                                                        <br/>                                                        <br/><b>Aumento del valor absoluto</b>                                                        <br/>Esto aumentará el precio en eBay en comparación con el precio en Magento;                                                        <br/>p. ej., si deseas aumentar el precio de un artículo en venta en eBay                                                        <br/>en 1,50 #currency_placeholder#, escribe “1,5” en el cuadro.                                                        <br/>                                                        <br/><b>Reducción del valor absoluto</b>                                                        <br/>Esto reducirá el precio en eBay en comparación con el precio en Magento;                                                        <br/>p. ej., si deseas reducir el precio de un artículo en venta en eBay                                                        <br/>en 1,50 #currency_placeholder#, escribe “1,5” en el cuadro.                                                        <br/>                                                        <br/><b>Porcentaje de aumento (%)</b>                                                        <br/>Esto aumentará el precio en eBay en comparación con el precio en Magento;                                                        <br/>p. ej., si deseas aumentar un 10% el precio                                                        <br/>de 2,00 #currency_placeholder# de un artículo en venta en la tienda Magento,                                                        <br/>escribe “10” en el cuadro. De este modo, el artículo se pondrá en venta                                                        <br/>por 2,2 #currency_placeholder# en eBay.                                                        <br/>                                                        <br/><b>Porcentaje de reducción (%)</b>                                                        <br/>Esto reducirá el precio en eBay en comparación con el precio en Magento;                                                        <br/>p. ej., si deseas reducir un 10% el precio de 2,00 #currency_placeholder# de un artículo en venta                                                        <br/>en la tienda Magento,                                                        <br/>escribe “10” en el cuadro. De este modo, el artículo se pondrá en venta por 1,80 #currency_placeholder#                                                        <br/>en eBay.                                                    "
"The starting price at which bidding begins.","Precio de salida al que comienza la puja."
"Absolute Value increase","Aumento del valor absoluto"
"Absolute Value decrease","Reducción del valor absoluto"
"Percentage increase","Porcentaje de aumento"
"Percentage decrease","Porcentaje de reducción"
"Variation Price","Precio de las variantes"
"Main Product","Producto principal"
"Associated Products","Productos asociados"
"This determines where the price for Configurable and Bundle products options should be taken from.","Determina de dónde debe tomarse el precio de las opciones de productos configurables y de conjunto."
"The lowest price at which you are selling an item.<br/><b>Note:</b> eBay charges some additional fee for using this option.","Precio más bajo al que vendes un artículo.<br/><b>Nota:</b> eBay cobra una tarifa adicional por usar esta opción."
"Donation","Donación"
"Organization","Organización"
"Search for Charity Organization","Buscar organización benéfica"
"Allows you to support your favourite <a href=""http://pages.ebay.co.uk/help/sell/nonprofit.html"" target=""_blank"">charities</a>.","Te permite ayudar a las <a href=""http://pages.ebay.co.uk/help/sell/nonprofit.html"" target=""_blank"">organizaciones benéficas</a> de tu elección."
"Donation Percentage","Porcentaje de donación"
"Best Offer","Mejor oferta"
"Allow Best Offer","Permitir Mejor oferta"
